,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
88,Repiste,44.81310000000008,20.463290000000033,Kafeterija | Кафетерија,44.81285187820009,20.46301212346027,Café
89,Rupcine,44.81310000000008,20.463290000000033,Sinnerman,44.81324726055465,20.462932754131046,Jazz Club
90,Rupcine,44.81310000000008,20.463290000000033,Kafeterija | Кафетерија,44.81285187820009,20.46301212346027,Café
91,Stari Cerak,44.74769619580906,20.419112440744147,Fuerte Kids,44.74878540632664,20.416013541745922,Playground
92,Stari Cerak,44.74769619580906,20.419112440744147,Lorenzo,44.74926159985161,20.41703794031276,Café
93,Stari Cerak,44.74769619580906,20.419112440744147,Drink Store,44.74812,20.416952,Convenience Store
94,Stari Cerak,44.74769619580906,20.419112440744147,Fuerte,44.749372348327576,20.4172007458691,Café
95,Suncana Padina,44.81310000000008,20.463290000000033,Sinnerman,44.81324726055465,20.462932754131046,Jazz Club
96,Suncana Padina,44.81310000000008,20.463290000000033,Kafeterija | Кафетерија,44.81285187820009,20.46301212346027,Café
97,Zarkovo,44.754986932436644,20.40993849745542,Kafana Čedić,44.75627061491211,20.404968420514535,Restaurant
98,Zarkovo,44.754986932436644,20.40993849745542,Sportski centar Partizan,44.7552161192551,20.406582287505444,Tennis Stadium
99,Zarkovo,44.754986932436644,20.40993849745542,Pijaca Bele vode,44.75523515209615,20.40983466765581,Farmers Market
100,Zarkovo,44.754986932436644,20.40993849745542,Viršlomobil,44.75516955402223,20.409862434961383,Food Truck
101,Zarkovo,44.754986932436644,20.40993849745542,Grb,44.75397044352448,20.413792383681315,Diner
102,Zarkovo,44.754986932436644,20.40993849745542,Minjon D,44.754050371100774,20.41427118293829,Butcher
103,Zarkovo Selo,44.754986932436644,20.40993849745542,Kafana Čedić,44.75627061491211,20.404968420514535,Restaurant
104,Zarkovo Selo,44.754986932436644,20.40993849745542,Sportski centar Partizan,44.7552161192551,20.406582287505444,Tennis Stadium
105,Zarkovo Selo,44.754986932436644,20.40993849745542,Pijaca Bele vode,44.75523515209615,20.40983466765581,Farmers Market
106,Zarkovo Selo,44.754986932436644,20.40993849745542,Viršlomobil,44.75516955402223,20.409862434961383,Food Truck
107,Zarkovo Selo,44.754986932436644,20.40993849745542,Grb,44.75397044352448,20.413792383681315,Diner
108,Zarkovo Selo,44.754986932436644,20.40993849745542,Minjon D,44.754050371100774,20.41427118293829,Butcher
109,Zeleznik,44.81310000000008,20.463290000000033,Sinnerman,44.81324726055465,20.462932754131046,Jazz Club
110,Zeleznik,44.81310000000008,20.463290000000033,Kafeterija | Кафетерија,44.81285187820009,20.46301212346027,Café
111,Zeleznik Selo,44.81310000000008,20.463290000000033,Sinnerman,44.81324726055465,20.462932754131046,Jazz Club
112,Zeleznik Selo,44.81310000000008,20.463290000000033,Kafeterija | Кафетерија,44.81285187820009,20.46301212346027,Café
113,Ada Medjica,44.79134771904464,20.38797650839549,Ada Međica,44.79246622177358,20.389162765993905,Island
114,Ada Medjica,44.79134771904464,20.38797650839549,Ада Циганлија | Ada Ciganlija,44.788840661646574,20.39586067199707,Lake
115,Ada Medjica,44.79134771904464,20.38797650839549,Savski kej | Šetalište Lazaro Kardenasa,44.796991941959284,20.39088858351639,Pedestrian Plaza
116,Ada Medjica,44.79134771904464,20.38797650839549,Andrea Mia,44.792539402178775,20.381011066770487,Italian Restaurant
117,Ada Medjica,44.79134771904464,20.38797650839549,Klub U.C. „Talija”,44.79516347074,20.38680622414513,Bar
118,Ada Medjica,44.79134771904464,20.38797650839549,Stari Pingvin,44.7953476906677,20.394063692169684,Restaurant
119,Ada Medjica,44.79134771904464,20.38797650839549,Miner's Raft,44.79514589671712,20.390049470184707,Beer Bar
120,Ada Medjica,44.79134771904464,20.38797650839549,Nepenthes,44.78557373951447,20.391090280723553,Lounge
121,Ada Medjica,44.79134771904464,20.38797650839549,Paradoks,44.795309344433406,20.39249363765964,Bar
122,Ada Medjica,44.79134771904464,20.38797650839549,Sudbina,44.79564534864566,20.39496686850555,Bar
123,Ada Medjica,44.79134771904464,20.38797650839549,Forma,44.79540332781818,20.394984364654178,Restaurant
124,Ada Medjica,44.79134771904464,20.38797650839549,Splav Coco,44.794877748201,20.388246082124283,Café
125,Ada Medjica,44.79134771904464,20.38797650839549,Režiser,44.78437328952681,20.386531175870786,Café
126,Ada Medjica,44.79134771904464,20.38797650839549,Knjaz,44.794301902675926,20.38508442099363,Pub
127,Ada Medjica,44.79134771904464,20.38797650839549,Godo,44.79522384828818,20.391500166154216,Italian Restaurant
128,Ada Medjica,44.79134771904464,20.38797650839549,Toša,44.791722585753035,20.379338736319625,Seafood Restaurant
129,Ada Medjica,44.79134771904464,20.38797650839549,Pingvin,44.795276937439375,20.39219247145361,Pizza Place
130,Ada Medjica,44.79134771904464,20.38797650839549,Skalar,44.79553779161521,20.395888717268875,Bar
131,Ada Medjica,44.79134771904464,20.38797650839549,Aligator,44.7953969976703,20.394640773731044,Café
132,Ada Medjica,44.79134771904464,20.38797650839549,Splav Vilenjak,44.79170995725596,20.379339420338795,BBQ Joint
133,Ada Medjica,44.79134771904464,20.38797650839549,Groš,44.79542447462184,20.394339919968417,Café
134,Ada Medjica,44.79134771904464,20.38797650839549,Šraf,44.79549294797011,20.395576948228396,Bar
135,Ada Medjica,44.79134771904464,20.38797650839549,Shark,44.785883348008156,20.39217270836248,Sports Bar
136,Ada Medjica,44.79134771904464,20.38797650839549,Jezero,44.79485152577108,20.387840652311173,Café
137,Ada Medjica,44.79134771904464,20.38797650839549,8+ (Osam plus),44.785046815471055,20.389109874504776,Eastern European Restaurant
138,Ada Medjica,44.79134771904464,20.38797650839549,Barka,44.79571159792828,20.392316601955553,Beer Garden
139,Ada Medjica,44.79134771904464,20.38797650839549,Kawa Sushi Bar,44.79595180897915,20.395422277266743,Sushi Restaurant
140,Ada Medjica,44.79134771904464,20.38797650839549,Corto ski,44.79550601935791,20.3955608549009,Bar
141,Ada Medjica,44.79134771904464,20.38797650839549,Makondo Hacienda,44.786125,20.393084,Lounge
142,Ada Medjica,44.79134771904464,20.38797650839549,Shop&Go,44.79851781384109,20.386734386149097,Market
143,Ada Medjica,44.79134771904464,20.38797650839549,Splav Jezero,44.79485240946231,20.38779001054644,Café
