,Neighbourhood,Latitude,Longitude
152,Grantovac,44.81310000000008,20.46329000000003
153,Kalenic,44.798790051070505,20.476670047752258
154,Krunski Venac,44.80740866199496,20.467150322136856
155,Neimar,44.81310000000008,20.46329000000003
156,Savinac,44.81310000000008,20.46329000000003
157,Slavija,44.802123508147574,20.466322167774702
158,Vracar,44.80135000000007,20.475730000000055
159,Altina,44.85363000000007,20.360740000000078
160,Backi Ilovik,44.84617511592784,20.37678318095378
161,Batajnica,44.87493512070085,20.341173840525656
162,Crveni Barjak,44.81310000000008,20.46329000000003
163,Cukovac,44.81310000000008,20.46329000000003
164,Donji Grad,44.82422993060773,20.46283993782108
165,Franjine Rudine,44.81310000000008,20.46329000000003
166,Galenika,44.76277993060775,20.41508994835266
167,Gardos,44.848399500000006,20.408895000000012
168,Gornji Grad,44.85143116141966,20.396562435136737
169,Govedji Brod,44.863222339340496,20.369064544712867
170,Jelovac,44.81310000000008,20.46329000000003
171,Kalvarija,44.837775000000015,20.398394250000003
172,Kamendin,44.81310000000008,20.46329000000003
173,Kolonija Zmaj,44.75135758436477,20.478126964631603
174,Lido,44.83127001558059,20.418349926712587
175,Mala Pruga,44.859849982022745,20.34270210982161
176,Malo Ratno Ostrvo,44.82361000000003,20.438330000000065
177,Marija Bursac,44.82848788926624,20.388403560550564
178,Meandri,44.81310000000008,20.46329000000003
179,Muhar,44.819169996104925,20.454280066074162
180,Nova Galenika,44.85828150000001,20.36961675000002
181,Novi Grad,44.841470007790356,20.39372004385716
182,Plavi Horizonti,44.84737000000007,20.342910000000074
183,Retenzija,44.81310000000008,20.46329000000003
184,Sava Kovacevic,44.79394636596789,20.527555517672663
185,Sutjeska,44.8405155,20.380974750000018
186,Sangaj,44.81310000000008,20.46329000000003
187,13. Maj,44.81310000000008,20.46329000000003
188,Veliko Ratno Ostrvo,44.83126000000004,20.434390000000064
189,Vojni Put,44.84073339315917,20.36672701571376
190,Vojni Put I,44.84073339315917,20.36672701571376
191,Vojni Put II,44.84073339315917,20.36672701571376
192,Zemun,44.84528000000006,20.41041000000007
193,Zemun Backa,44.84528000000006,20.41041000000007
194,Zemun Polje,44.8721235,20.32445925000001
195,Zemunski Kej,44.82780300000002,20.422239750000006
196,Zeleznicka Kolonija,44.83705172285885,20.37301900652512
197,Bulbuder,44.81310000000008,20.46329000000003
198,Cvetanova cuprija,44.77554209841851,20.512066968827597
199,Cvetkova Pijaca,44.79318000000006,20.504830000000027
200,Denkova Basta,44.806129583691806,20.484730971031283
201,Djeram,44.81310000000008,20.46329000000003
202,Konjarnik,44.78299000000004,20.501610000000028
203,Konjarnik I,44.77772101029909,20.519537597036365
204,Konjarnik II,44.77772101029909,20.519537597036365
205,Konjarnik III,44.77772101029909,20.519537597036365
206,Lion,44.81310000000008,20.46329000000003
207,Lipov Lad,44.79580997446482,20.497999923394396
208,Mali Mokri Lug,44.78116003332554,20.523329969992766
209,Mirijevo,44.794520000000034,20.52615000000003
210,Mirijevo II,44.788140000000055,20.53115992281744
211,Mirijevo III,44.794520000000034,20.52615000000003
212,Mirijevo IV,44.794520000000034,20.52615000000003
213,Novo Mirijevo,44.794520000000034,20.52615000000003
214,Orlovsko Naselje,44.798421509217775,20.530865745391125
215,Padina,44.81310000000008,20.46329000000003
216,Rudo,44.7839754118197,20.514012085094482
217,Slavujev Venac,44.805967481801794,20.48628038881198
218,Staro Mirijevo,44.794520000000034,20.52615000000003
219,Uciteljsko Naselje,44.78707190035275,20.510049235149467
220,Veliki Mokri Lug,44.759940043857156,20.525370037220668
221,Vukov Spomenik,44.80562000000003,20.47834000000006
222,Zeleno Brdo,44.781974541386404,20.52728846611909
223,Zvezdara,44.79314000000005,20.50488000000007
224,Zvezdara II,44.79314000000005,20.50488000000007
